"1단계","2단계","격자 X","격자 Y","육상예보구역","기온예보구역","","","","","","","","","","",""
"서울특별시","","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","종로구","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","중구","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","용산구","60","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","성동구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","광진구","62","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","동대문구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","중랑구","62","128","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","성북구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강북구","61","128","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","도봉구","61","129","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","노원구","61","129","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","은평구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","서대문구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","마포구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","양천구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강서구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","구로구","58","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","금천구","59","124","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","영등포구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","동작구","59","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","관악구","59","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","서초구","61","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강남구","61","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","송파구","62","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강동구","62","126","11B00000","11B10101","","","","","","","","","","",""
"부산광역시","","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","중구","97","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","서구","97","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","동구","98","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","영도구","98","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","부산진구","97","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","동래구","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","남구","98","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","북구","96","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","해운대구","99","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","사하구","96","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","금정구","98","77","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","강서구","96","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","연제구","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","수영구","99","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","사상구","96","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","기장군","100","77","11H20000","11H20201","","","","","","","","","","",""
"대구광역시","","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","중구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","동구","90","91","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","서구","88","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","남구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","북구","89","91","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","수성구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","달서구","88","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","달성군","86","88","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","군위군","88","99","11H10000","11H10707","","","","","","","","","","",""
"인천광역시","","55","124","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","중구","54","125","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","동구","54","125","11B00000","11B20201","","","","","","","","","","",""
